date,n1,n2,n3,n4,n5,s1,s2
07-Nov-25,11,21,39,40,43,2,8
04-Nov-25,6,9,25,28,45,1,4
31-Oct-25,5,14,38,43,45,7,11
28-Oct-25,7,8,24,35,49,2,12
24-Oct-25,7,8,25,31,45,7,12
21-Oct-25,5,24,29,40,42,6,12
17-Oct-25,13,35,39,44,47,3,5
14-Oct-25,5,8,14,16,18,3,10
10-Oct-25,6,7,17,20,21,1,10
07-Oct-25,24,39,42,43,48,5,8
03-Oct-25,6,12,18,25,41,2,6
30-Sep-25,3,8,15,17,48,2,8
26-Sep-25,4,17,25,28,44,5,11
23-Sep-25,11,13,24,29,33,2,5
19-Sep-25,8,10,26,32,42,9,12
16-Sep-25,1,9,13,35,40,5,6
12-Sep-25,5,10,23,31,37,3,11
09-Sep-25,3,13,24,39,40,2,8
05-Sep-25,27,30,31,41,43,5,8
02-Sep-25,13,30,31,32,36,1,12
29-Aug-25,6,9,10,13,37,1,7
26-Aug-25,2,14,38,42,45,10,11
22-Aug-25,6,9,12,30,39,4,10
12-Aug-25,18,28,42,46,48,3,9
08-Aug-25,2,12,19,34,44,6,10
05-Aug-25,1,3,5,42,47,5,10
01-Aug-25,4,16,25,29,30,2,10
29-Jul-25,5,6,42,44,46,4,8
25-Jul-25,6,7,23,32,36,11,12
22-Jul-25,8,15,26,33,41,9,10
18-Jul-25,13,19,25,42,45,2,9
15-Jul-25,24,38,41,45,49,1,6
11-Jul-25,8,23,24,45,49,2,10
08-Jul-25,1,8,9,18,50,1,5
04-Jul-25,19,29,42,45,48,5,7
01-Jul-25,1,17,28,32,34,7,8
27-Jun-25,19,27,36,45,49,7,10
24-Jun-25,7,16,21,23,39,7,11
20-Jun-25,5,8,24,37,47,3,9
17-Jun-25,13,22,23,44,49,3,5
13-Jun-25,2,28,40,43,45,3,7
10-Jun-25,19,36,39,40,45,5,6
06-Jun-25,20,21,29,30,35,2,12
03-Jun-25,12,15,38,47,48,5,7
30-May-25,4,7,14,33,36,1,5
27-May-25,12,30,38,40,41,4,12
23-May-25,10,29,43,46,49,7,12
20-May-25,1,8,13,29,47,5,6
16-May-25,6,9,25,37,46,6,12
13-May-25,9,19,44,47,50,2,9
09-May-25,15,18,25,29,47,5,9
06-May-25,8,23,24,47,48,4,9
02-May-25,3,5,19,21,49,1,10
29-Apr-25,2,9,24,30,41,1,11
25-Apr-25,13,22,32,39,41,1,12
22-Apr-25,7,28,33,37,47,9,12
18-Apr-25,20,27,35,39,48,3,8
15-Apr-25,3,31,33,38,44,6,12
11-Apr-25,14,28,34,46,49,3,8
08-Apr-25,3,14,15,48,49,1,7
04-Apr-25,27,39,41,45,50,5,7
01-Apr-25,9,24,30,46,49,4,12
28-Mar-25,10,21,30,42,45,1,9
25-Mar-25,1,3,18,33,36,2,6
21-Mar-25,9,17,18,21,50,5,12
18-Mar-25,4,9,35,46,50,8,11
14-Mar-25,8,10,33,35,49,2,9
11-Mar-25,13,36,37,42,47,7,11
07-Mar-25,6,10,27,32,48,3,8
04-Mar-25,15,20,29,35,42,2,9
28-Feb-25,7,16,31,43,46,5,9
25-Feb-25,17,22,23,24,44,6,11
21-Feb-25,1,3,11,20,43,2,11
18-Feb-25,5,14,25,26,40,5,7
14-Feb-25,4,14,31,36,38,3,10
11-Feb-25,3,21,36,41,46,1,6
07-Feb-25,10,23,24,29,45,8,10
04-Feb-25,3,4,29,39,43,5,10
31-Jan-25,22,30,41,44,49,2,7
28-Jan-25,9,37,41,42,49,1,9
24-Jan-25,2,11,19,30,49,3,8
21-Jan-25,6,8,14,27,41,4,5
17-Jan-25,8,15,24,35,42,6,8
14-Jan-25,18,20,29,41,48,5,9
10-Jan-25,12,27,36,37,42,6,7
07-Jan-25,20,33,35,41,47,4,12
03-Jan-25,3,19,29,35,37,1,9
31-Dec-24,19,24,26,28,33,8,12
27-Dec-24,12,22,27,33,45,4,8
24-Dec-24,6,10,16,23,24,11,12
20-Dec-24,10,14,21,33,50,6,9
17-Dec-24,1,3,4,21,29,2,7
13-Dec-24,1,15,25,42,50,4,10
10-Dec-24,5,24,25,29,47,5,9
06-Dec-24,14,25,39,44,47,6,10
03-Dec-24,23,25,34,46,47,6,8
29-Nov-24,8,17,18,29,43,5,9
26-Nov-24,7,11,25,31,40,9,12
22-Nov-24,10,11,12,29,31,8,11
19-Nov-24,4,13,20,28,49,7,12
15-Nov-24,7,8,34,39,44,2,6
12-Nov-24,10,11,12,22,50,1,10
08-Nov-24,2,33,35,42,48,1,3
05-Nov-24,1,8,19,37,50,6,9
01-Nov-24,7,33,38,44,50,2,7
29-Oct-24,1,2,19,30,45,10,12
25-Oct-24,4,17,20,25,45,8,9
22-Oct-24,3,13,27,30,46,1,2
18-Oct-24,4,15,23,30,39,1,12
15-Oct-24,2,15,32,36,48,3,9
11-Oct-24,16,23,32,46,49,4,5
08-Oct-24,7,14,19,34,40,6,8
04-Oct-24,4,8,16,17,20,1,6
01-Oct-24,8,22,29,41,42,9,11
27-Sep-24,7,20,21,27,38,5,12
24-Sep-24,18,20,21,36,49,3,5
20-Sep-24,16,25,29,34,37,3,7
17-Sep-24,20,30,32,41,44,1,10
13-Sep-24,10,15,17,31,42,4,12
10-Sep-24,6,29,46,47,48,2,9
06-Sep-24,12,14,34,41,47,3,4
03-Sep-24,7,9,11,16,45,2,5
30-Aug-24,3,24,27,33,42,4,6
27-Aug-24,1,8,11,42,47,4,11
23-Aug-24,9,15,24,47,50,8,9
20-Aug-24,7,10,13,18,26,3,12
16-Aug-24,15,17,29,45,49,1,10
13-Aug-24,15,16,39,40,47,1,6
09-Aug-24,21,23,25,33,44,4,10
06-Aug-24,1,18,27,41,50,2,12
02-Aug-24,5,7,12,33,46,3,12
30-Jul-24,9,25,28,37,38,2,8
26-Jul-24,4,19,23,35,37,4,8
23-Jul-24,4,8,10,16,34,4,8
19-Jul-24,15,22,35,44,48,6,7
16-Jul-24,2,32,35,36,39,7,8
12-Jul-24,12,18,24,25,39,8,10
09-Jul-24,6,15,19,2,39,7,11
05-Jul-24,11,13,29,31,47,1,11
02-Jul-24,2,7,34,35,46,6,8
28-Jun-24,10,16,18,22,35,1,10
25-Jun-24,14,16,37,45,49,5,7
21-Jun-24,3,4,7,11,17,3,12
18-Jun-24,3,11,33,34,36,1,12
14-Jun-24,2,13,16,24,32,1,7
11-Jun-24,7,15,34,45,48,7,9
07-Jun-24,15,16,26,30,37,5,8
04-Jun-24,6,7,9,14,43,3,4
31-May-24,4,7,16,33,34,7,8
28-May-24,16,18,35,36,41,6,7
24-May-24,9,12,18,22,50,1,3
21-May-24,11,13,14,34,48,7,9
17-May-24,18,31,32,41,46,1,10
14-May-24,2,8,17,28,35,7,9
10-May-24,13,28,29,44,48,4,12
07-May-24,35,36,41,42,45,6,11
03-May-24,6,9,10,30,49,3,4
30-Apr-24,13,22,24,33,47,1,5
26-Apr-24,2,20,39,40,47,4,8
23-Apr-24,6,9,11,32,49,2,10
19-Apr-24,10,20,40,44,46,1,3
16-Apr-24,22,29,31,39,46,3,7
12-Apr-24,2,3,12,16,45,2,11
09-Apr-24,19,23,26,27,46,2,10
05-Apr-24,13,18,26,35,37,8,11
02-Apr-24,1,23,31,36,48,5,8
29-Mar-24,16,17,35,36,49,1,10
26-Mar-24,2,13,14,26,29,5,6
22-Mar-24,8,11,23,32,44,9,10
19-Mar-24,7,16,18,20,32,1,3
15-Mar-24,1,4,31,34,40,4,5
12-Mar-24,13,19,30,38,46,4,12
08-Mar-24,8,11,12,16,44,4,7
05-Mar-24,2,15,17,23,36,3,8
01-Mar-24,4,7,19,20,34,2,4
27-Feb-24,3,4,9,12,20,5,6
23-Feb-24,24,27,28,30,49,1,12
20-Feb-24,23,31,37,42,48,3,7
16-Feb-24,8,13,14,24,26,1,2
13-Feb-24,13,17,18,20,46,4,9
09-Feb-24,23,24,35,37,45,9,12
06-Feb-24,2,7,21,28,45,5,11
02-Feb-24,13,20,23,27,42,5,9
30-Jan-24,5,10,19,27,30,5,6
26-Jan-24,8,19,32,41,42,9,12
23-Jan-24,14,23,39,48,50,3,12
19-Jan-24,27,28,44,48,50,7,12
16-Jan-24,10,18,21,33,45,8,12
12-Jan-24,16,17,18,45,49,9,12
09-Jan-24,2,9,12,39,40,1,3
05-Jan-24,4,7,18,39,50,3,8
02-Jan-24,7,15,18,46,49,10,12
29-Dec-23,2,3,19,36,37,6,9
26-Dec-23,8,27,30,35,47,9,10
22-Dec-23,6,14,34,44,49,4,12
19-Dec-23,10,20,41,43,45,2,12
15-Dec-23,2,13,37,38,48,5,9
12-Dec-23,6,28,37,39,43,9,12
08-Dec-23,17,30,42,48,50,4,8
05-Dec-23,4,6,20,24,25,5,9
01-Dec-23,4,10,14,38,50,9,12
28-Nov-23,12,16,27,33,44,7,8
24-Nov-23,15,20,29,39,48,1,7
21-Nov-23,19,29,34,46,47,2,3
17-Nov-23,2,24,26,46,50,2,7
14-Nov-23,13,16,36,44,50,3,5
10-Nov-23,10,21,30,38,42,2,12
07-Nov-23,8,10,11,30,39,4,10
03-Nov-23,8,21,31,39,47,5,9
31-Oct-23,5,7,20,40,50,2,10
27-Oct-23,29,33,35,48,49,3,8
24-Oct-23,8,16,18,31,34,6,9
20-Oct-23,2,20,28,40,4,1,5
17-Oct-23,10,17,20,35,40,3,4
13-Oct-23,21,26,28,40,41,2,4
10-Oct-23,18,20,22,33,43,3,9
06-Oct-23,21,29,31,34,43,2,9
03-Oct-23,6,20,22,24,45,4,5
29-Sep-23,9,11,13,21,32,2,7
26-Sep-23,2,6,14,19,23,5,7
22-Sep-23,3,23,24,34,35,5,8
19-Sep-23,10,15,31,41,42,2,5
15-Sep-23,12,14,21,45,48,8,11
12-Sep-23,5,14,36,40,42,2,11
08-Sep-23,10,20,21,26,33,3,4
05-Sep-23,1,7,24,41,48,10,12
01-Sep-23,4,5,35,37,43,5,6
29-Aug-23,21,23,32,40,49,8,11
25-Aug-23,16,17,34,35,44,5,10
22-Aug-23,2,9,23,32,40,6,7
18-Aug-23,23,25,30,44,47,9,12
15-Aug-23,3,5,9,32,43,6,10
11-Aug-23,4,6,10,13,34,3,5
08-Aug-23,8,9,33,35,40,3,6
04-Aug-23,15,20,31,44,48,1,3
01-Aug-23,25,27,35,40,45,7,11
28-Jul-23,7,32,33,34,38,6,9
25-Jul-23,5,7,11,27,37,6,12
21-Jul-23,7,31,33,35,36,7,10
18-Jul-23,4,12,34,35,45,1,9
14-Jul-23,5,8,29,35,48,5,6
11-Jul-23,2,11,28,42,48,4,9
07-Jul-23,2,11,12,19,38,4,8
04-Jul-23,14,17,23,36,44,2,8
30-Jun-23,1,6,25,29,36,7,10
27-Jun-23,17,22,23,27,44,1,7
23-Jun-23,1,3,11,33,46,10,11
20-Jun-23,11,17,28,32,35,5,6
16-Jun-23,7,26,34,41,44,9,11
13-Jun-23,15,16,21,41,50,5,6
09-Jun-23,18,26,36,41,50,11,12
06-Jun-23,13,21,32,39,50,2,10
02-Jun-23,3,12,15,25,43,10,11
30-May-23,27,29,32,33,47,2,8
26-May-23,15,25,37,38,41,1,7
23-May-23,5,6,14,23,34,2,11
19-May-23,18,27,34,41,49,3,9
16-May-23,4,6,9,14,37,4,11
12-May-23,9,10,13,39,44,4,6
09-May-23,13,17,21,28,46,7,9
05-May-23,3,8,18,34,49,3,7
02-May-23,7,32,44,47,48,7,8
28-Apr-23,11,13,16,23,34,1,10
25-Apr-23,10,29,30,40,45,1,12
21-Apr-23,7,8,18,33,42,2,8
18-Apr-23,17,21,23,35,37,10,11
14-Apr-23,4,11,37,44,49,6,7
11-Apr-23,10,14,16,19,29,2,10
07-Apr-23,5,26,28,36,46,6,12
04-Apr-23,10,16,31,33,50,3,8
31-Mar-23,16,18,28,34,47,5,10
28-Mar-23,16,21,34,36,44,9,10
24-Mar-23,5,12,25,36,46,6,10
21-Mar-23,1,9,20,29,32,2,3
17-Mar-23,5,15,26,37,49,8,11
14-Mar-23,16,26,28,31,46,11,12
20-Mar-23,9,16,37,38,48,2,7
07-Mar-23,11,13,24,35,50,6,11
03-Mar-23,3,6,8,24,50,10,11
28-Feb-23,12,29,33,37,47,5,10
24-Feb-23,7,23,34,42,48,1,3
21-Feb-23,21,22,34,41,49,2,7
17-Feb-23,8,23,27,42,45,1,9
14-Feb-23,24,26,38,43,46,2,3
10-Feb-23,3,13,25,36,47,3,8
07-Feb-23,2,8,34,44,47,3,9
03-Feb-23,2,14,17,32,45,3,10
31-Jan-23,7,12,19,33,43,3,7
27-Jan-23,8,9,15,19,31,10,12
24-Jan-23,11,27,41,43,47,7,11
20-Jan-23,3,6,13,40,42,7,11
17-Jan-23,18,21,30,46,50,2,6
13-Jan-23,4,13,25,33,37,5,10
10-Jan-23,11,13,34,40,42,3,10
06-Jan-23,16,31,35,44,45,4,12
03-Jan-23,20,21,29,45,46,3,10
30-Dec-22,17,34,42,47,48,1,9
27-Dec-22,19,31,33,34,43,3,5
23-Dec-22,16,17,23,26,35,5,11
20-Dec-22,1,11,17,20,27,4,5
16-Dec-22,2,15,19,35,44,2,7
13-Dec-22,3,9,12,26,30,10,11
09-Dec-22,8,27,31,46,50,1,3
06-Dec-22,12,20,25,26,27,8,12
02-Dec-22,12,21,35,39,45,6,11
29-Nov-22,15,20,24,35,38,8,12
25-Nov-22,19,21,35,37,39,2,6
22-Nov-22,21,22,24,29,42,3,11
18-Nov-22,13,16,19,35,41,1,11
15-Nov-22,13,21,24,31,33,1,12
11-Nov-22,2,19,24,25,44,2,10
08-Nov-22,3,5,32,33,50,1,8
04-Nov-22,2,11,37,45,47,2,3
01-Nov-22,19,37,42,47,48,1,6
28-Oct-22,14,16,21,28,35,1,11
25-Oct-22,7,24,34,39,46,1,6
21-Oct-22,25,26,28,38,40,1,6
18-Oct-22,3,5,13,42,48,1,6
14-Oct-22,24,28,29,34,48,3,7
11-Oct-22,8,23,32,35,40,1,8
07-Oct-22,26,27,42,45,50,1,12
04-Oct-22,3,18,28,42,43,3,12
30-Sep-22,1,2,11,16,26,3,12
27-Sep-22,4,20,21,34,44,1,3
23-Sep-22,14,15,22,35,48,3,8
20-Sep-22,11,21,23,32,48,3,12
16-Sep-22,10,27,36,45,49,3,4
13-Sep-22,9,12,15,40,47,1,11
09-Sep-22,17,23,24,26,27,4,9
06-Sep-22,7,10,22,29,44,4,5
02-Sep-22,7,12,13,20,45,3,12
30-Aug-22,4,6,10,15,19,1,4
26-Aug-22,22,23,25,38,44,11,12
23-Aug-22,19,26,31,39,48,2,3
19-Aug-22,2,9,13,19,38,2,6
16-Aug-22,10,14,25,32,39,7,8
12-Aug-22,14,17,34,35,42,6,10
09-Aug-22,18,19,21,27,47,5,11
05-Aug-22,3,29,33,35,44,8,10
02-Aug-22,7,18,28,40,48,8,11
29-Jul-22,3,23,38,43,48,3,8
26-Jul-22,3,5,17,25,27,1,9
22-Jul-22,16,18,29,32,50,4,11
19-Jul-22,6,23,27,40,41,2,12
15-Jul-22,9,17,29,38,39,7,10
12-Jul-22,14,18,24,25,50,6,11
08-Jul-22,28,31,35,43,46,4,7
05-Jul-22,7,10,25,45,48,3,6
01-Jul-22,6,18,24,34,46,3,12
28-Jun-22,10,35,42,47,48,2,11
26-Jun-22,10,17,28,44,50,8,12
21-Jun-22,6,23,36,39,47,8,10
17-Jun-22,19,21,22,31,38,7,11
14-Jun-22,2,7,27,34,40,3,11
10-Jun-22,17,26,36,37,40,9,12
07-Jun-22,6,16,17,25,31,2,6
03-Jun-22,12,28,29,34,48,9,11
31-May-22,3,10,13,42,49,3,9
27-May-22,15,23,28,34,48,3,5
24-May-22,10,13,27,36,37,2,10
20-May-22,8,22,23,32,50,3,9
17-May-22,5,28,30,48,49,5,11
13-May-22,3,11,17,45,48,4,8
10-May-22,3,25,27,28,29,4,9
06-May-22,3,8,18,24,40,3,11
03-May-22,8,20,26,47,48,3,8
29-Apr-22,10,11,20,36,37,3,7
26-Apr-22,4,25,28,34,45,8,11
22-Apr-22,6,11,21,35,36,1,9
19-Apr-22,2,12,17,28,46,6,10
15-Apr-22,6,24,30,32,48,5,6
12-Apr-22,21,30,31,35,47,2,10
08-Apr-22,1,15,16,38,45,4,11
05-Apr-22,1,11,13,24,49,5,6
01-Apr-22,2,7,21,31,45,4,10
29-Mar-22,8,11,33,42,43,6,11
25-Mar-22,6,10,24,27,29,5,12
22-Mar-22,7,17,21,29,40,8,11
18-Mar-22,1,9,14,17,43,6,12
15-Mar-22,1,2,12,19,26,2,8
11-Mar-22,12,19,22,23,48,2,6
08-Mar-22,12,18,21,25,31,2,9
04-Mar-22,6,20,40,42,43,10,12
01-Mar-22,8,24,26,39,42,3,5
25-Feb-22,10,13,24,30,42,1,5
22-Feb-22,5,9,14,26,32,3,7
18-Feb-22,25,38,41,43,50,6,10
15-Feb-22,9,20,31,33,44,2,12
11-Feb-22,13,18,38,42,45,7,11
08-Feb-22,6,20,34,37,43,7,10
04-Feb-22,3,25,38,43,49,3,7
01-Feb-22,1,19,36,38,49,6,9
28-Jan-22,10,25,29,34,45,9,10
25-Jan-22,6,16,18,39,47,2,4
21-Jan-22,5,14,35,36,39,7,12
18-Jan-22,3,12,19,24,30,2,5
14-Jan-22,6,17,25,31,46,9,12
11-Jan-22,4,23,32,33,44,9,12
07-Jan-22,2,14,37,44,50,7,11
04-Jan-22,18,28,35,36,41,6,11
31-Dec-21,7,22,25,43,49,6,7
28-Dec-21,4,6,15,17,29,9,12
24-Dec-21,2,26,28,34,41,5,10
21-Dec-21,12,17,21,34,38,2,3
17-Dec-21,1,2,15,30,35,2,7
14-Dec-21,19,21,37,47,48,3,6
10-Dec-21,11,21,33,38,42,2,8
07-Dec-21,22,31,38,46,47,7,11
03-Dec-21,21,22,29,32,46,9,10
30-Nov-21,19,20,26,33,43,1,4
26-Nov-21,1,20,41,42,50,3,7
23-Nov-21,17,21,36,42,46,7,10
19-Nov-21,22,26,38,47,50,2,6
16-Nov-21,9,19,21,32,36,3,4
12-Nov-21,2,9,15,47,50,6,9
09-Nov-21,17,25,26,33,36,1,8
05-Nov-21,2,12,25,30,41,8,11
02-Nov-21,2,3,17,29,43,1,4
29-Oct-21,10,15,28,32,49,3,9
26-Oct-21,12,15,20,42,44,1,2
22-Oct-21,12,17,22,33,39,2,12
19-Oct-21,4,20,36,40,41,1,6
15-Oct-21,21,26,31,34,49,2,5
12-Oct-21,6,13,22,45,49,10,11
08-Oct-21,1,10,23,42,46,3,5
05-Oct-21,11,13,14,36,45,7,9
01-Oct-21,1,15,19,26,48,6,12
28-Sep-21,6,7,12,33,39,1,7
24-Sep-21,2,12,20,27,41,10,12
21-Sep-21,20,25,26,30,38,2,8
17-Sep-21,5,7,8,10,34,1,9
14-Sep-21,12,18,35,38,45,2,8
10-Sep-21,1,6,7,18,28,2,8
07-Sep-21,7,19,35,42,43,7,9
03-Sep-21,5,7,13,29,35,3,7
31-Aug-21,5,13,17,32,43,2,10
27-Aug-21,2,3,31,46,50,8,12
24-Aug-21,19,21,36,44,50,3,10
20-Aug-21,3,9,19,20,23,9,11
17-Aug-21,12,31,41,42,47,4,6
13-Aug-21,6,12,44,47,49,8,12
10-Aug-21,9,37,47,48,49,2,7
06-Aug-21,7,14,21,26,32,4,12
03-Aug-21,17,21,23,45,46,7,11
30-Jul-21,10,23,33,35,37,5,10
27-Jul-21,5,9,19,21,25,10,12
23-Jul-21,23,24,26,34,50,2,4
20-Jul-21,3,12,19,41,48,6,9
16-Jul-21,5,16,42,47,49,3,11
13-Jul-21,5,6,8,11,22,3,4
09-Jul-21,6,19,36,37,49,4,11
06-Jul-21,2,5,21,27,42,9,11
02-Jul-21,9,14,29,38,49,7,10
29-Jun-21,6,12,20,24,48,5,6
25-Jun-21,1,29,30,33,36,3,12
22-Jun-21,6,24,26,27,41,3,8
18-Jun-21,11,20,27,30,41,3,5
15-Jun-21,11,21,26,30,31,2,3
11-Jun-21,9,17,21,33,39,7,11
08-Jun-21,2,11,26,36,47,7,9
04-Jun-21,7,20,36,40,46,2,4
01-Jun-21,3,10,26,35,44,6,7
28-May-21,11,13,16,34,40,1,12
25-May-21,1,21,26,30,38,2,8
21-May-21,2,9,13,15,35,3,10
18-May-21,5,13,38,39,40,4,12
14-May-21,6,16,18,29,38,6,11
11-May-21,14,25,34,43,46,5,6
